"AccBinomial","Habit"
"Nicotiana_acaulis","Herb"
"Nicotiana_acuminata","Herb"
"Nicotiana_africana","Herb"
"Nicotiana_alata","Herb"
"Nicotiana_amplexicaulis","Herb"
"Nicotiana_benavidesii","Shrub"
"Nicotiana_bonariensis","Herb"
"Nicotiana_cavicola","Herb"
"Nicotiana_clevelandii","Herb"
"Nicotiana_cordifolia","Shrub"
"Nicotiana_corymbosa","Herb"
"Nicotiana_excelsior","Herb"
"Nicotiana_forgetiana","Herb"
"Nicotiana_forsteri","Herb"
"Nicotiana_glauca","Shrub"
"Nicotiana_goodspeedii","Herb"
"Nicotiana_gossei","Herb"
"Nicotiana_langsdorffii","Herb"
"Nicotiana_linearis","Herb"
"Nicotiana_maritima","Herb"
"Nicotiana_megalosiphon","Herb"
"Nicotiana_miersii","Herb"
"Nicotiana_nesophila","Herb"
"Nicotiana_noctiflora","Herb"
"Nicotiana_nudicaulis","Herb"
"Nicotiana_obtusifolia","Herb"
"Nicotiana_occidentalis","Herb"
"Nicotiana_otophora","Shrub"
"Nicotiana_pauciflora","Herb"
"Nicotiana_petunioides","Herb"
"Nicotiana_plumbaginifolia","Herb"
"Nicotiana_quadrivalvis","Herb"
"Nicotiana_raimondii","Shrub"
"Nicotiana_repanda","Herb"
"Nicotiana_rosulata","Herb"
"Nicotiana_rotundifolia","Herb"
"Nicotiana_rustica","Herb"
"Nicotiana_simulans","Herb"
"Nicotiana_solanifolia","Shrub"
"Nicotiana_spegazzinii","Herb"
"Nicotiana_stocktonii","Herb"
"Nicotiana_suaveolens","Herb"
"Nicotiana_sylvestris","Herb"
"Nicotiana_tabacum","Herb"
"Nicotiana_tomentosa","Shrub"
"Nicotiana_tomentosiformis","Shrub"
"Nicotiana_umbratica","Herb"
"Nicotiana_velutina","Herb"
"Nicotiana_wigandioides","Shrub"
